id,sent_id,form,lemma,case,deprel,sentence
0,1,Suomi,Suomi,"{'Case': 'Nom', 'Number': 'Sing'}",nsubj:cop,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
1,4,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
2,7,muutoksen,muutos,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
3,23,.,.,,punct,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
4,2,toisena,toinen,"{'Case': 'Ess', 'Derivation': 'Inen', 'Number': 'Sing', 'NumType': 'Ord'}",nummod,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
5,3,kielenä,kieli,"{'Case': 'Ess', 'Number': 'Sing'}",nmod,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
6,5,monella,moni,"{'Case': 'Ade', 'Number': 'Sing', 'PronType': 'Ind'}",det,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
7,8,tilassa,tila,"{'Case': 'Ine', 'Number': 'Sing'}",obl,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
8,9,:,:,,punct,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
9,12,vakiinnuttanut,vakiinnuttaa,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}",parataxis,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
10,6,tapaa,tapa,"{'Case': 'Par', 'Number': 'Sing'}",root,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
11,10,Ala,alkaa,"{'Mood': 'Imp', 'Number': 'Sing', 'Person': '2', 'VerbForm': 'Fin', 'Voice': 'Act'}",nsubj,"Suomi toisena kielenä on monella tapaa muutoksen tilassa: Ala on vakiinnuttanut asemaansa koulutuksen kentällä, ja toimijoiden määrä on kasvanut valtavasti."
