id,sent_id,form,lemma,case,deprel,sentence
0,1,En,ei,"{'Number': 'Sing', 'Person': '1', 'Polarity': 'Neg', 'VerbForm': 'Fin', 'Voice': 'Act'}",aux,En ole elämässäni paljon matkustanut.
1,2,ole,olla,"{'Connegative': 'Yes', 'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Fin'}",aux,En ole elämässäni paljon matkustanut.
2,3,elämässäni,elämä,"{'Case': 'Ine', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '1'}",obl,En ole elämässäni paljon matkustanut.
3,4,paljon,paljon,,advmod,En ole elämässäni paljon matkustanut.
4,6,.,.,,punct,En ole elämässäni paljon matkustanut.
5,5,matkustanut,matkustaa,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}",root,En ole elämässäni paljon matkustanut.
6,1,Kun,kun,,mark,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
7,2,olin,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
8,4,",",",",,punct,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
9,3,lapsi,lapsi,"{'Case': 'Nom', 'Number': 'Sing'}",advcl,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
10,11,ja,ja,,cc,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
11,14,tapasivat,tavata,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",conj,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
12,18,",",",",,punct,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
13,19,en,ei,"{'Number': 'Sing', 'Person': '1', 'Polarity': 'Neg', 'VerbForm': 'Fin', 'Voice': 'Act'}",aux,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
14,20,ole,olla,"{'Connegative': 'Yes', 'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Fin'}",aux,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
15,21,itse,itse,,advmod,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
16,23,käymän,käydä,"{'Case': 'Gen', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Agt', 'VerbForm': 'Part', 'Voice': 'Act'}",xcomp,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
17,29,.,.,,punct,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
18,5,oli,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
19,6,ainut,ainut,"{'Case': 'Nom', 'Number': 'Sing', 'PronType': 'Ind'}",det,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
20,8,matkustaa,matkustaa,"{'InfForm': '1', 'Number': 'Sing', 'VerbForm': 'Inf', 'Voice': 'Act'}",acl,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
21,22,onnistunut,onnistua,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}",parataxis,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
22,7,mahdollisuus,mahdollisuus,"{'Case': 'Nom', 'Derivation': 'Llinen,Vs', 'Number': 'Sing'}",root,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
23,9,itään,itä,"{'Case': 'Ill', 'Number': 'Sing'}",obl,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
24,10,suuntaan,suunta,"{'Case': 'Ill', 'Number': 'Sing'}",obl,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
25,12,paitsi,paitsi,,advmod,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
26,13,vanhempani,vanhempi,"{'Case': 'Nom', 'Number': 'Plur', 'Number[psor]': 'Sing', 'Person[psor]': '1'}",nsubj,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
27,15,toisiinsa,toinen,"{'Case': 'Ill', 'Number': 'Plur', 'Person[psor]': '3', 'PronType': 'Rcp'}",obl,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
28,17,Siperiassa,Siperia,"{'Case': 'Ine', 'Number': 'Sing'}",obl,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
29,16,kaukana,kaukana,,advmod,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
30,24,siellä,siellä,,advmod,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
31,25,eikä,ei,"{'Clitic': 'Ka', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Neg', 'VerbForm': 'Fin', 'Voice': 'Act'}",cc,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
32,26,muuallakin,muua,"{'Case': 'Ade', 'Number': 'Sing', 'PronType': 'Ind'}",det,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
33,27,entisessä,entinen,"{'Case': 'Ine', 'Degree': 'Pos', 'Derivation': 'Inen', 'Number': 'Sing'}",amod,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
34,28,Neuvostoliitossa,neuvosto#liitto,"{'Case': 'Ine', 'Number': 'Sing'}",conj,"Kun olin lapsi, oli ainut mahdollisuus matkustaa itään suuntaan ja paitsi vanhempani tapasivat toisiinsa kaukana Siperiassa, en ole itse onnistunut käymän siellä eikä muuallakin entisessä Neuvostoliitossa."
35,1,Ensimmäinen,ensimmäinen,"{'Case': 'Nom', 'Derivation': 'Inen', 'Number': 'Sing', 'NumType': 'Ord'}",nummod,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
36,2,ulkomaa-matkani,ulko#maa#matka,"{'Case': 'Nom', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '1'}",nsubj,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
37,5,Suomeen,Suomi,"{'Case': 'Ill', 'Number': 'Sing'}",obl,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
38,7,pidin,pitää,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",conj,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
39,10,.,.,,punct,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
40,3,oli,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",root,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
41,4,tietysti,tietysti,{'Derivation': 'Sti'},advmod,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
42,6,ja,ja,,cc,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
43,8,siitä,se,"{'Case': 'Ela', 'Number': 'Sing', 'PronType': 'Dem'}",obl,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
44,9,kovasti,kovasti,{'Derivation': 'Sti'},advmod,Ensimmäinen ulkomaa-matkani oli tietysti Suomeen ja pidin siitä kovasti.
45,1,Tuolloin,tuolloin,,advmod,Tuolloin oli laivalippu vielä hyvin kallista ja sen lisäksi tuli hankkia viisumi.
46,2,oli,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,Tuolloin oli laivalippu vielä hyvin kallista ja sen lisäksi tuli hankkia viisumi.
47,3,laivalippu,laiva#lippu,"{'Case': 'Nom', 'Number': 'Sing'}",nsubj:cop,Tuolloin oli laivalippu vielä hyvin kallista ja sen lisäksi tuli hankkia viisumi.
48,4,vielä,vielä,,advmod,Tuolloin oli laivalippu vielä hyvin kallista ja sen lisäksi tuli hankkia viisumi.
