	title	url	party	year	type	lang	doc_id	party_abbr
0	                  Suomen työväenpuolueen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/STP3/444	Suomen työväenpuolue	1899	yleisohjelma	FI	STP3_444	STP3
1	                  Kristillisen liiton kunnallisvaaliohjelma 2000                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/696	Suomen kristillinen liitto	2000	vaaliohjelma	FI	SKL_696	SKL
2	                  EU-vaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/682	Suomen kristillinen liitto	1999	vaaliohjelma	FI	SKL_682	SKL
3	                  VAALIOHJELMA Eduskuntavaalit ´99                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/714	Suomen kristillinen liitto	1999	vaaliohjelma	FI	SKL_714	SKL
4	                  Kristillisen Liiton tavoiteohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/707	Suomen kristillinen liitto	1998	yleisohjelma	FI	SKL_707	SKL
5	                  Maa- ja metsätalouspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/699	Suomen kristillinen liitto	1998	erityisohjelma	FI	SKL_699	SKL
6	                  Lapsipoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/697	Suomen kristillinen liitto	1997	erityisohjelma	FI	SKL_697	SKL
7	                  Kristliga Förbundets riksdagsgrupps åtgärdsprogram                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/680	Suomen kristillinen liitto	1996	erityisohjelma	SV	SKL_680	SKL
8	                  Kunnallisvaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/695	Suomen kristillinen liitto	1996	vaaliohjelma	FI	SKL_695	SKL
9	                  Kunnallispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/694	Suomen kristillinen liitto	1988	erityisohjelma	FI	SKL_694	SKL
10	                  Suomen kristillisen liiton eduskuntavaaliohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/713	Suomen kristillinen liitto	1987	vaaliohjelma	FI	SKL_713	SKL
11	                  SKL:n Ympäristöpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/719	Suomen kristillinen liitto	1986	erityisohjelma	FI	SKL_719	SKL
12	                  Suomen Kristillisen Liiton yleisohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/718	Suomen kristillinen liitto	1982	yleisohjelma	FI	SKL_718	SKL
13	                  SKL:n Kulttuuripoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/690	Suomen kristillinen liitto	1981	erityisohjelma	FI	SKL_690	SKL
14	                  SKL:n kunnallispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/693	Suomen kristillinen liitto	1980	erityisohjelma	FI	SKL_693	SKL
15	                  Kristillisen liiton periaateohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/704	Suomen kristillinen liitto	1979	yleisohjelma	FI	SKL_704	SKL
16	                  SKL:n Aluepoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/678	Suomen kristillinen liitto	1977	erityisohjelma	FI	SKL_678	SKL
17	                  SKL:n Eläkeläispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/681	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_681	SKL
18	                  SKL:n koulupoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/688	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_688	SKL
19	                  SKL:n kunnallispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/692	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_692	SKL
20	                  SKL:n Terveyspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/708	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_708	SKL
21	                  SKL:n Väestöpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/715	Suomen kristillinen liitto	1976	erityisohjelma	FI	SKL_715	SKL
22	                  SKL:n Koulupoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/687	Suomen kristillinen liitto	1975	erityisohjelma	FI	SKL_687	SKL
23	                  SKL:n Kuluttajapoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/691	Suomen kristillinen liitto	1975	erityisohjelma	FI	SKL_691	SKL
24	                  SKL:n Liikennepoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/SKL/698	Suomen kristillinen liitto	1975	erityisohjelma	FI	SKL_698	SKL
